,Unnamed: 0,title,company,location,salary,summary
16,16,"Senior Design Technologist, Brand Lab - Telco & Entertainmen...",Amazon.com Services LLC,"Santa Monica, CA 90404 (Mid-City area)",,"Experience with creative ideation and attending brainstorm sessions with internal and external partners.4+ years of experience as a front-end technologist,…"
17,17,Marketing Technologist,City National Bank,"Los Angeles, CA",,Proven track record of success delivering creative solutions to complex problems.The Marketing Technologist reports to the MarTech Manager and has expertise in…
18,18,Associate R&D Imagineer - Creative Technologist,Walt Disney Imagineering,"Glendale, CA",,"Imagineering is the master planning, creative development, design, engineering, production, project management, and research and development arm of The Walt…"
19,19,"Technologist, Creative Technology",Snapchat,"Los Angeles, CA 90291 (Venice area)",,"General knowledge in creative software such as Lens Studio, Unity, Unreal Engine, Disguise, Notch, Touch Designer, Blender, Adobe Suite."
20,20,Associate Creative Technologist - Twitter Next Lab,Twitter,"Los Angeles, CA",,"Participate in brainstorming sessions, providing technical as well as creative inputs.As an Associate Creative Technologist, you combine technical know-how…"
21,21,"Creative Technologist, Creative Shop Labs",Meta,"Los Angeles, CA 90066 (Del Rey area)",,"5+ years of experience in creative technology, or similar role.Portfolio of projects that demonstrate your skills as a technologist/developer."
22,22,"Senior Design Technologist, Brand Lab - Telco & Entertainmen...",Amazon.com Services LLC,"Santa Monica, CA 90404 (Mid-City area)",,"Experience with creative ideation and attending brainstorm sessions with internal and external partners.4+ years of experience as a front-end technologist,…"
23,23,Marketing Technologist,City National Bank,"Los Angeles, CA",,Proven track record of success delivering creative solutions to complex problems.The Marketing Technologist reports to the MarTech Manager and has expertise in…
24,24,Associate R&D Imagineer - Creative Technologist,Walt Disney Imagineering,"Glendale, CA",,"Imagineering is the master planning, creative development, design, engineering, production, project management, and research and development arm of The Walt…"
25,25,"Technologist, Creative Technology",Snapchat,"Los Angeles, CA 90291 (Venice area)",,"General knowledge in creative software such as Lens Studio, Unity, Unreal Engine, Disguise, Notch, Touch Designer, Blender, Adobe Suite."
26,26,Associate Creative Technologist - Twitter Next Lab,Twitter,"Los Angeles, CA",,"Participate in brainstorming sessions, providing technical as well as creative inputs.As an Associate Creative Technologist, you combine technical know-how…"
27,27,"Creative Technologist, Creative Shop Labs",Meta,"Los Angeles, CA 90066 (Del Rey area)",,"5+ years of experience in creative technology, or similar role.Portfolio of projects that demonstrate your skills as a technologist/developer."
28,28,"Senior Design Technologist, Brand Lab - Telco & Entertainmen...",Amazon.com Services LLC,"Santa Monica, CA 90404 (Mid-City area)",,"Experience with creative ideation and attending brainstorm sessions with internal and external partners.4+ years of experience as a front-end technologist,…"
29,29,Marketing Technologist,City National Bank,"Los Angeles, CA",,Proven track record of success delivering creative solutions to complex problems.The Marketing Technologist reports to the MarTech Manager and has expertise in…
30,30,Associate R&D Imagineer - Creative Technologist,Walt Disney Imagineering,"Glendale, CA",,"Imagineering is the master planning, creative development, design, engineering, production, project management, and research and development arm of The Walt…"
31,31,"Technologist, Creative Technology",Snapchat,"Los Angeles, CA 90291 (Venice area)",,"General knowledge in creative software such as Lens Studio, Unity, Unreal Engine, Disguise, Notch, Touch Designer, Blender, Adobe Suite."
32,32,Associate Creative Technologist - Twitter Next Lab,Twitter,"Los Angeles, CA",,"Participate in brainstorming sessions, providing technical as well as creative inputs.As an Associate Creative Technologist, you combine technical know-how…"
33,33,"Creative Technologist, Creative Shop Labs",Meta,"Los Angeles, CA 90066 (Del Rey area)",,"5+ years of experience in creative technology, or similar role.Portfolio of projects that demonstrate your skills as a technologist/developer."
34,34,"Senior Design Technologist, Brand Lab - Telco & Entertainmen...",Amazon.com Services LLC,"Santa Monica, CA 90404 (Mid-City area)",,"Experience with creative ideation and attending brainstorm sessions with internal and external partners.4+ years of experience as a front-end technologist,…"
35,35,Marketing Technologist,City National Bank,"Los Angeles, CA",,Proven track record of success delivering creative solutions to complex problems.The Marketing Technologist reports to the MarTech Manager and has expertise in…
36,36,Associate R&D Imagineer - Creative Technologist,Walt Disney Imagineering,"Glendale, CA",,"Imagineering is the master planning, creative development, design, engineering, production, project management, and research and development arm of The Walt…"
37,37,"Technologist, Creative Technology",Snapchat,"Los Angeles, CA 90291 (Venice area)",,"General knowledge in creative software such as Lens Studio, Unity, Unreal Engine, Disguise, Notch, Touch Designer, Blender, Adobe Suite."
38,38,Associate Creative Technologist - Twitter Next Lab,Twitter,"Los Angeles, CA",,"Participate in brainstorming sessions, providing technical as well as creative inputs.As an Associate Creative Technologist, you combine technical know-how…"
39,39,"Creative Technologist, Creative Shop Labs",Meta,"Los Angeles, CA 90066 (Del Rey area)",,"5+ years of experience in creative technology, or similar role.Portfolio of projects that demonstrate your skills as a technologist/developer."
40,40,"Senior Design Technologist, Brand Lab - Telco & Entertainmen...",Amazon.com Services LLC,"Santa Monica, CA 90404 (Mid-City area)",,"Experience with creative ideation and attending brainstorm sessions with internal and external partners.4+ years of experience as a front-end technologist,…"
41,41,Marketing Technologist,City National Bank,"Los Angeles, CA",,Proven track record of success delivering creative solutions to complex problems.The Marketing Technologist reports to the MarTech Manager and has expertise in…
42,42,Associate R&D Imagineer - Creative Technologist,Walt Disney Imagineering,"Glendale, CA",,"Imagineering is the master planning, creative development, design, engineering, production, project management, and research and development arm of The Walt…"
43,43,"Technologist, Creative Technology",Snapchat,"Los Angeles, CA 90291 (Venice area)",,"General knowledge in creative software such as Lens Studio, Unity, Unreal Engine, Disguise, Notch, Touch Designer, Blender, Adobe Suite."
44,44,Associate Creative Technologist - Twitter Next Lab,Twitter,"Los Angeles, CA",,"Participate in brainstorming sessions, providing technical as well as creative inputs.As an Associate Creative Technologist, you combine technical know-how…"
45,45,"Creative Technologist, Creative Shop Labs",Meta,"Los Angeles, CA 90066 (Del Rey area)",,"5+ years of experience in creative technology, or similar role.Portfolio of projects that demonstrate your skills as a technologist/developer."
46,46,"Senior Design Technologist, Brand Lab - Telco & Entertainmen...",Amazon.com Services LLC,"Santa Monica, CA 90404 (Mid-City area)",,"Experience with creative ideation and attending brainstorm sessions with internal and external partners.4+ years of experience as a front-end technologist,…"
47,47,Marketing Technologist,City National Bank,"Los Angeles, CA",,Proven track record of success delivering creative solutions to complex problems.The Marketing Technologist reports to the MarTech Manager and has expertise in…
48,48,Associate R&D Imagineer - Creative Technologist,Walt Disney Imagineering,"Glendale, CA",,"Imagineering is the master planning, creative development, design, engineering, production, project management, and research and development arm of The Walt…"
49,49,"Technologist, Creative Technology",Snapchat,"Los Angeles, CA 90291 (Venice area)",,"General knowledge in creative software such as Lens Studio, Unity, Unreal Engine, Disguise, Notch, Touch Designer, Blender, Adobe Suite."
50,50,Associate Creative Technologist - Twitter Next Lab,Twitter,"Los Angeles, CA",,"Participate in brainstorming sessions, providing technical as well as creative inputs.As an Associate Creative Technologist, you combine technical know-how…"
51,51,"Creative Technologist, Creative Shop Labs",Meta,"Los Angeles, CA 90066 (Del Rey area)",,"5+ years of experience in creative technology, or similar role.Portfolio of projects that demonstrate your skills as a technologist/developer."
52,52,"Senior Design Technologist, Brand Lab - Telco & Entertainmen...",Amazon.com Services LLC,"Santa Monica, CA 90404 (Mid-City area)",,"Experience with creative ideation and attending brainstorm sessions with internal and external partners.4+ years of experience as a front-end technologist,…"
53,53,Marketing Technologist,City National Bank,"Los Angeles, CA",,Proven track record of success delivering creative solutions to complex problems.The Marketing Technologist reports to the MarTech Manager and has expertise in…
54,54,Associate R&D Imagineer - Creative Technologist,Walt Disney Imagineering,"Glendale, CA",,"Imagineering is the master planning, creative development, design, engineering, production, project management, and research and development arm of The Walt…"
55,55,"Technologist, Creative Technology",Snapchat,"Los Angeles, CA 90291 (Venice area)",,"General knowledge in creative software such as Lens Studio, Unity, Unreal Engine, Disguise, Notch, Touch Designer, Blender, Adobe Suite."
56,56,Associate Creative Technologist - Twitter Next Lab,Twitter,"Los Angeles, CA",,"Participate in brainstorming sessions, providing technical as well as creative inputs.As an Associate Creative Technologist, you combine technical know-how…"
57,57,"Creative Technologist, Creative Shop Labs",Meta,"Los Angeles, CA 90066 (Del Rey area)",,"5+ years of experience in creative technology, or similar role.Portfolio of projects that demonstrate your skills as a technologist/developer."
58,58,"Senior Design Technologist, Brand Lab - Telco & Entertainmen...",Amazon.com Services LLC,"Santa Monica, CA 90404 (Mid-City area)",,"Experience with creative ideation and attending brainstorm sessions with internal and external partners.4+ years of experience as a front-end technologist,…"
59,59,Marketing Technologist,City National Bank,"Los Angeles, CA",,Proven track record of success delivering creative solutions to complex problems.The Marketing Technologist reports to the MarTech Manager and has expertise in…
60,0,"Creative Technologist, Creative Shop Labs",Meta,"Chicago, IL ",,"5+ years of experience in creative technology, or similar role.Portfolio of projects that demonstrate your skills as a technologist/developer."
61,1,Creative Technologist,Epsilon,"Chicago, IL ",,"The Creative Technologist (CT) is responsible for being a true innovator and automator, elevating the technical vision, execution, and strategy within the…"
62,0,Associate R&D Imagineer - Creative Technologist,Walt Disney Imagineering,"Glendale, CA",,"Imagineering is the master planning, creative development, design, engineering, production, project management, and research and development arm of The Walt…"
63,1,"Technologist, Creative Technology",Snapchat,"Los Angeles, CA 90291 (Venice area)",,"General knowledge in creative software such as Lens Studio, Unity, Unreal Engine, Disguise, Notch, Touch Designer, Blender, Adobe Suite."
64,2,Associate Creative Technologist - Twitter Next Lab,Twitter,"Los Angeles, CA",,"Participate in brainstorming sessions, providing technical as well as creative inputs.As an Associate Creative Technologist, you combine technical know-how…"
65,3,"Creative Technologist, Creative Shop Labs",Meta,"Los Angeles, CA 90066 (Del Rey area)",,"5+ years of experience in creative technology, or similar role.Portfolio of projects that demonstrate your skills as a technologist/developer."
66,4,"Senior Design Technologist, Brand Lab - Telco & Entertainmen...",Amazon.com Services LLC,"Santa Monica, CA 90404 (Mid-City area)",,"Experience with creative ideation and attending brainstorm sessions with internal and external partners.4+ years of experience as a front-end technologist,…"
67,5,Marketing Technologist,City National Bank,"Los Angeles, CA",,Proven track record of success delivering creative solutions to complex problems.The Marketing Technologist reports to the MarTech Manager and has expertise in…
68,6,Associate R&D Imagineer - Creative Technologist,Walt Disney Imagineering,"Glendale, CA",,"Imagineering is the master planning, creative development, design, engineering, production, project management, and research and development arm of The Walt…"
69,7,"Technologist, Creative Technology",Snapchat,"Los Angeles, CA 90291 (Venice area)",,"General knowledge in creative software such as Lens Studio, Unity, Unreal Engine, Disguise, Notch, Touch Designer, Blender, Adobe Suite."
70,8,Associate Creative Technologist - Twitter Next Lab,Twitter,"Los Angeles, CA",,"Participate in brainstorming sessions, providing technical as well as creative inputs.As an Associate Creative Technologist, you combine technical know-how…"
71,9,"Creative Technologist, Creative Shop Labs",Meta,"Los Angeles, CA 90066 (Del Rey area)",,"5+ years of experience in creative technology, or similar role.Portfolio of projects that demonstrate your skills as a technologist/developer."
72,10,"Senior Design Technologist, Brand Lab - Telco & Entertainmen...",Amazon.com Services LLC,"Santa Monica, CA 90404 (Mid-City area)",,"Experience with creative ideation and attending brainstorm sessions with internal and external partners.4+ years of experience as a front-end technologist,…"
73,11,Marketing Technologist,City National Bank,"Los Angeles, CA",,Proven track record of success delivering creative solutions to complex problems.The Marketing Technologist reports to the MarTech Manager and has expertise in…
74,12,Associate R&D Imagineer - Creative Technologist,Walt Disney Imagineering,"Glendale, CA",,"Imagineering is the master planning, creative development, design, engineering, production, project management, and research and development arm of The Walt…"
75,13,"Technologist, Creative Technology",Snapchat,"Los Angeles, CA 90291 (Venice area)",,"General knowledge in creative software such as Lens Studio, Unity, Unreal Engine, Disguise, Notch, Touch Designer, Blender, Adobe Suite."
76,14,Associate Creative Technologist - Twitter Next Lab,Twitter,"Los Angeles, CA",,"Participate in brainstorming sessions, providing technical as well as creative inputs.As an Associate Creative Technologist, you combine technical know-how…"
77,15,"Creative Technologist, Creative Shop Labs",Meta,"Los Angeles, CA 90066 (Del Rey area)",,"5+ years of experience in creative technology, or similar role.Portfolio of projects that demonstrate your skills as a technologist/developer."
78,16,"Senior Design Technologist, Brand Lab - Telco & Entertainmen...",Amazon.com Services LLC,"Santa Monica, CA 90404 (Mid-City area)",,"Experience with creative ideation and attending brainstorm sessions with internal and external partners.4+ years of experience as a front-end technologist,…"
79,17,Marketing Technologist,City National Bank,"Los Angeles, CA",,Proven track record of success delivering creative solutions to complex problems.The Marketing Technologist reports to the MarTech Manager and has expertise in…
80,18,Associate R&D Imagineer - Creative Technologist,Walt Disney Imagineering,"Glendale, CA",,"Imagineering is the master planning, creative development, design, engineering, production, project management, and research and development arm of The Walt…"
81,19,"Technologist, Creative Technology",Snapchat,"Los Angeles, CA 90291 (Venice area)",,"General knowledge in creative software such as Lens Studio, Unity, Unreal Engine, Disguise, Notch, Touch Designer, Blender, Adobe Suite."
82,20,Associate Creative Technologist - Twitter Next Lab,Twitter,"Los Angeles, CA",,"Participate in brainstorming sessions, providing technical as well as creative inputs.As an Associate Creative Technologist, you combine technical know-how…"
83,21,"Creative Technologist, Creative Shop Labs",Meta,"Los Angeles, CA 90066 (Del Rey area)",,"5+ years of experience in creative technology, or similar role.Portfolio of projects that demonstrate your skills as a technologist/developer."
84,22,"Senior Design Technologist, Brand Lab - Telco & Entertainmen...",Amazon.com Services LLC,"Santa Monica, CA 90404 (Mid-City area)",,"Experience with creative ideation and attending brainstorm sessions with internal and external partners.4+ years of experience as a front-end technologist,…"
85,23,Marketing Technologist,City National Bank,"Los Angeles, CA",,Proven track record of success delivering creative solutions to complex problems.The Marketing Technologist reports to the MarTech Manager and has expertise in…
86,24,Associate R&D Imagineer - Creative Technologist,Walt Disney Imagineering,"Glendale, CA",,"Imagineering is the master planning, creative development, design, engineering, production, project management, and research and development arm of The Walt…"
87,25,"Technologist, Creative Technology",Snapchat,"Los Angeles, CA 90291 (Venice area)",,"General knowledge in creative software such as Lens Studio, Unity, Unreal Engine, Disguise, Notch, Touch Designer, Blender, Adobe Suite."
88,26,Associate Creative Technologist - Twitter Next Lab,Twitter,"Los Angeles, CA",,"Participate in brainstorming sessions, providing technical as well as creative inputs.As an Associate Creative Technologist, you combine technical know-how…"
89,27,"Creative Technologist, Creative Shop Labs",Meta,"Los Angeles, CA 90066 (Del Rey area)",,"5+ years of experience in creative technology, or similar role.Portfolio of projects that demonstrate your skills as a technologist/developer."
90,28,"Senior Design Technologist, Brand Lab - Telco & Entertainmen...",Amazon.com Services LLC,"Santa Monica, CA 90404 (Mid-City area)",,"Experience with creative ideation and attending brainstorm sessions with internal and external partners.4+ years of experience as a front-end technologist,…"
91,29,Marketing Technologist,City National Bank,"Los Angeles, CA",,Proven track record of success delivering creative solutions to complex problems.The Marketing Technologist reports to the MarTech Manager and has expertise in…
92,30,Associate R&D Imagineer - Creative Technologist,Walt Disney Imagineering,"Glendale, CA",,"Imagineering is the master planning, creative development, design, engineering, production, project management, and research and development arm of The Walt…"
93,31,"Technologist, Creative Technology",Snapchat,"Los Angeles, CA 90291 (Venice area)",,"General knowledge in creative software such as Lens Studio, Unity, Unreal Engine, Disguise, Notch, Touch Designer, Blender, Adobe Suite."
94,32,Associate Creative Technologist - Twitter Next Lab,Twitter,"Los Angeles, CA",,"Participate in brainstorming sessions, providing technical as well as creative inputs.As an Associate Creative Technologist, you combine technical know-how…"
95,33,"Creative Technologist, Creative Shop Labs",Meta,"Los Angeles, CA 90066 (Del Rey area)",,"5+ years of experience in creative technology, or similar role.Portfolio of projects that demonstrate your skills as a technologist/developer."
96,34,"Senior Design Technologist, Brand Lab - Telco & Entertainmen...",Amazon.com Services LLC,"Santa Monica, CA 90404 (Mid-City area)",,"Experience with creative ideation and attending brainstorm sessions with internal and external partners.4+ years of experience as a front-end technologist,…"
97,35,Marketing Technologist,City National Bank,"Los Angeles, CA",,Proven track record of success delivering creative solutions to complex problems.The Marketing Technologist reports to the MarTech Manager and has expertise in…
98,36,Associate R&D Imagineer - Creative Technologist,Walt Disney Imagineering,"Glendale, CA",,"Imagineering is the master planning, creative development, design, engineering, production, project management, and research and development arm of The Walt…"
99,37,"Technologist, Creative Technology",Snapchat,"Los Angeles, CA 90291 (Venice area)",,"General knowledge in creative software such as Lens Studio, Unity, Unreal Engine, Disguise, Notch, Touch Designer, Blender, Adobe Suite."
100,38,Associate Creative Technologist - Twitter Next Lab,Twitter,"Los Angeles, CA",,"Participate in brainstorming sessions, providing technical as well as creative inputs.As an Associate Creative Technologist, you combine technical know-how…"
101,39,"Creative Technologist, Creative Shop Labs",Meta,"Los Angeles, CA 90066 (Del Rey area)",,"5+ years of experience in creative technology, or similar role.Portfolio of projects that demonstrate your skills as a technologist/developer."
102,40,"Senior Design Technologist, Brand Lab - Telco & Entertainmen...",Amazon.com Services LLC,"Santa Monica, CA 90404 (Mid-City area)",,"Experience with creative ideation and attending brainstorm sessions with internal and external partners.4+ years of experience as a front-end technologist,…"
103,41,Marketing Technologist,City National Bank,"Los Angeles, CA",,Proven track record of success delivering creative solutions to complex problems.The Marketing Technologist reports to the MarTech Manager and has expertise in…
104,42,Associate R&D Imagineer - Creative Technologist,Walt Disney Imagineering,"Glendale, CA",,"Imagineering is the master planning, creative development, design, engineering, production, project management, and research and development arm of The Walt…"
105,43,"Technologist, Creative Technology",Snapchat,"Los Angeles, CA 90291 (Venice area)",,"General knowledge in creative software such as Lens Studio, Unity, Unreal Engine, Disguise, Notch, Touch Designer, Blender, Adobe Suite."
106,44,Associate Creative Technologist - Twitter Next Lab,Twitter,"Los Angeles, CA",,"Participate in brainstorming sessions, providing technical as well as creative inputs.As an Associate Creative Technologist, you combine technical know-how…"
107,45,"Creative Technologist, Creative Shop Labs",Meta,"Los Angeles, CA 90066 (Del Rey area)",,"5+ years of experience in creative technology, or similar role.Portfolio of projects that demonstrate your skills as a technologist/developer."
108,46,"Senior Design Technologist, Brand Lab - Telco & Entertainmen...",Amazon.com Services LLC,"Santa Monica, CA 90404 (Mid-City area)",,"Experience with creative ideation and attending brainstorm sessions with internal and external partners.4+ years of experience as a front-end technologist,…"
109,47,Marketing Technologist,City National Bank,"Los Angeles, CA",,Proven track record of success delivering creative solutions to complex problems.The Marketing Technologist reports to the MarTech Manager and has expertise in…
110,48,Associate R&D Imagineer - Creative Technologist,Walt Disney Imagineering,"Glendale, CA",,"Imagineering is the master planning, creative development, design, engineering, production, project management, and research and development arm of The Walt…"
111,49,"Technologist, Creative Technology",Snapchat,"Los Angeles, CA 90291 (Venice area)",,"General knowledge in creative software such as Lens Studio, Unity, Unreal Engine, Disguise, Notch, Touch Designer, Blender, Adobe Suite."
112,50,Associate Creative Technologist - Twitter Next Lab,Twitter,"Los Angeles, CA",,"Participate in brainstorming sessions, providing technical as well as creative inputs.As an Associate Creative Technologist, you combine technical know-how…"
113,51,"Creative Technologist, Creative Shop Labs",Meta,"Los Angeles, CA 90066 (Del Rey area)",,"5+ years of experience in creative technology, or similar role.Portfolio of projects that demonstrate your skills as a technologist/developer."
114,52,"Senior Design Technologist, Brand Lab - Telco & Entertainmen...",Amazon.com Services LLC,"Santa Monica, CA 90404 (Mid-City area)",,"Experience with creative ideation and attending brainstorm sessions with internal and external partners.4+ years of experience as a front-end technologist,…"
115,53,Marketing Technologist,City National Bank,"Los Angeles, CA",,Proven track record of success delivering creative solutions to complex problems.The Marketing Technologist reports to the MarTech Manager and has expertise in…
116,54,Associate R&D Imagineer - Creative Technologist,Walt Disney Imagineering,"Glendale, CA",,"Imagineering is the master planning, creative development, design, engineering, production, project management, and research and development arm of The Walt…"
117,55,"Technologist, Creative Technology",Snapchat,"Los Angeles, CA 90291 (Venice area)",,"General knowledge in creative software such as Lens Studio, Unity, Unreal Engine, Disguise, Notch, Touch Designer, Blender, Adobe Suite."
118,56,Associate Creative Technologist - Twitter Next Lab,Twitter,"Los Angeles, CA",,"Participate in brainstorming sessions, providing technical as well as creative inputs.As an Associate Creative Technologist, you combine technical know-how…"
119,57,"Creative Technologist, Creative Shop Labs",Meta,"Los Angeles, CA 90066 (Del Rey area)",,"5+ years of experience in creative technology, or similar role.Portfolio of projects that demonstrate your skills as a technologist/developer."
120,58,"Senior Design Technologist, Brand Lab - Telco & Entertainmen...",Amazon.com Services LLC,"Santa Monica, CA 90404 (Mid-City area)",,"Experience with creative ideation and attending brainstorm sessions with internal and external partners.4+ years of experience as a front-end technologist,…"
121,59,Marketing Technologist,City National Bank,"Los Angeles, CA",,Proven track record of success delivering creative solutions to complex problems.The Marketing Technologist reports to the MarTech Manager and has expertise in…
122,0,Lead Creative Technologist (Front-End),Hush Studios,"Brooklyn, NY",,10+ years of creative technology experience w/ fast-paced design agencies & clients.Work with creative & strategy teams to contribute quickly and iteratively…
123,1,"Creative Technologist, Creative Shop Labs",Meta,"New York, NY",,"5+ years of experience in creative technology, or similar role.Portfolio of projects that demonstrate your skills as a technologist/developer."
124,2,Creative Technologist,"JPMorgan Chase Bank, N.A.","New York, NY",,"8+ years' experience with creative technology, front-end development or related fields.Day-to-day, you'll collaborate closely with our design and product teams…"
125,3,Senior Creative Technologist,Havas Group,"New York, NY",,"Builds strong relationships with creatives for collaboration on creative ideas.Plays a key role in evolving the agency creative vision, creating prototypes to…"
126,4,newDigital Senior Creative Technologist,Protiviti,"New York, NY",,"Portfolio with examples of digital experiences or experiments that demonstrate your skill as a creative technologist, with your role and technical constraints…"
127,5,Creative Product Technologist,MiQ Digital,"New York, NY",,"The ideal candidate will be comfortable in a hybrid position, spending their time developing custom dynamic creative executions and working with product…"
128,6,Web Design Technologist,Avenues: The World School,"New York, NY",,Location: Flexible (ET operating hours)*.Storytelling and visual design are your hallmark strengths and you are an expert user of design software (ideally…
129,7,Design Technologist,RISIRISA,"New York, NY",,"As a member of RISIRISA’s design team, you will be joining an interdisciplinary group of scientists, mathematicians, designers, and engineers that work with…"
130,8,Creative Technologist - Digital Experience Design - Senior,Gensler,"New York, NY 10020 (Midtown area)",,"Exceptional critical thinking and creative problem-solving skills.Collaborate with clients, design teams and other technologists on projects across multiple…"
131,9,Capgemini Invent- Design Technologist II,Capgemini Invent,"New York, NY",,"As a Design Technologist, you’ll use the latest tools and techniques to take projects from idea to reality.Worked on 1+ production applications using a major…"
132,10,"Design Technologist, Brand Innovation Lab",Amazon Advertising LLC,"New York, NY+4 locations",,"Familiar with creative ideation and brainstorm sessions with internal and external partners.2+ years of experience as a front-end technologist, engineer, or UX…"
133,11,Senior Design Technologist,frog,"New York, NY+1 location",,"As a Senior Design Technologist, you'll use the latest tools and techniques to take projects from idea to reality."
134,12,Senior Design Technologist (Front End Developer),frog,"New York, NY",,"As a Senior Design Technologist focusing on Front End Development, you'll use the latest tools and techniques to take projects from idea to reality."
135,13,Senior Design Technologist (Full Stack Developer),frog,"New York, NY",,"As a Senior Design Technologist focusing on Full Stack Development, you'll use the latest tools and techniques to take projects from idea to reality."
136,14,Creative Technologist,National Museum of Mathematics,"Remote in New York, NY 10010",,"You will be relied on to use problem-solving, creativity, and quick thinking to keep the Museum exhibits and IT infrastructure running smoothly and help prepare…"
137,15,"Design Technologist (STEM, Maker Education)",NORY,"New York, NY 10018 (Garment District area)",,"Imagine - you can design a dream STEM project that a group of 5-7yo children can work on for a week.In collaboration with our curriculum team, you will utilize…"
138,16,"Creative Technologist, Creative Shop Labs",Meta,"New York, NY",,"5+ years of experience in creative technology, or similar role.Portfolio of projects that demonstrate your skills as a technologist/developer."
139,17,Creative Technologist,"JPMorgan Chase Bank, N.A.","New York, NY",,"8+ years' experience with creative technology, front-end development or related fields.Day-to-day, you'll collaborate closely with our design and product teams…"
140,18,Senior Creative Technologist,Havas Group,"New York, NY",,"Builds strong relationships with creatives for collaboration on creative ideas.Plays a key role in evolving the agency creative vision, creating prototypes to…"
141,19,newDigital Senior Creative Technologist,Protiviti,"New York, NY",,"Portfolio with examples of digital experiences or experiments that demonstrate your skill as a creative technologist, with your role and technical constraints…"
142,20,Creative Product Technologist,MiQ Digital,"New York, NY",,"The ideal candidate will be comfortable in a hybrid position, spending their time developing custom dynamic creative executions and working with product…"
143,21,Web Design Technologist,Avenues: The World School,"New York, NY",,Location: Flexible (ET operating hours)*.Storytelling and visual design are your hallmark strengths and you are an expert user of design software (ideally…
144,22,Design Technologist,RISIRISA,"New York, NY",,"As a member of RISIRISA’s design team, you will be joining an interdisciplinary group of scientists, mathematicians, designers, and engineers that work with…"
145,23,Creative Technologist - Digital Experience Design - Senior,Gensler,"New York, NY 10020 (Midtown area)",,"Exceptional critical thinking and creative problem-solving skills.Collaborate with clients, design teams and other technologists on projects across multiple…"
146,24,Capgemini Invent- Design Technologist II,Capgemini Invent,"New York, NY",,"As a Design Technologist, you’ll use the latest tools and techniques to take projects from idea to reality.Worked on 1+ production applications using a major…"
